INTERP1,,,,,,,,SPLINE,,,,,,
Active,LF_welch,HF_welch,LF_YW,HF_YW,LF2HF_welch,LF2HF_YW,,Active,LF_welch,HF_welch,LF_YW,HF_YW,LF2HF_welch,LF2HF_YW
0,0.53692,0.018001,0.50756,0.019482,29.827,26.053,,0,0.53692,0.018001,0.50756,0.019482,29.827,26.053
0,0.51729,0.043699,0.52573,0.048538,11.838,10.831,,0,0.51729,0.043699,0.52573,0.048538,11.838,10.831
0,0.38952,0.089253,0.32766,0.10563,4.3642,3.1018,,0,0.38952,0.089253,0.32766,0.10563,4.3642,3.1018
0,0.41712,0.049337,0.26541,0.050462,8.4546,5.2597,,0,0.41712,0.049337,0.26541,0.050462,8.4546,5.2597
0,0.45537,0.025507,0.30636,0.02762,17.853,11.092,,0,0.45537,0.025507,0.30636,0.02762,17.853,11.092
0,0.48353,0.049137,0.41248,0.041865,9.8405,9.8527,,0,0.48353,0.049137,0.41248,0.041865,9.8405,9.8527
1,0.582458398,0.007905091,0.635540115,0.011433254,73.68143072,55.58698419,,1,0.582458398,0.007905091,0.635540115,0.011433254,73.68143072,55.58698419
1,0.41461,0.016658,0.22183,0.017045,24.89,13.015,,1,0.41461,0.016658,0.22183,0.017045,24.89,13.015
1,0.45023,0.047944,0.42942,0.051749,9.3906,8.2982,,1,0.45023,0.047944,0.42942,0.051749,9.3906,8.2982
1,0.40386,0.091953,0.34933,0.11611,4.392,3.0088,,1,0.40386,0.091953,0.34933,0.11611,4.392,3.0088
1,0.42835,0.042794,0.2492,0.056035,10.01,4.4471,,1,0.42835,0.042794,0.2492,0.056035,10.01,4.4471
,,,,,,,,,,,,,,
,Quiet Interp1,,,,,Quiet Spline,,,,,,,,
,MEAN,STD,MEDIAN,IQR,,MEAN,STD,MEDIAN,IQR,,,,,
LF_welch,0.466625,0.057125667,0.46945,0.0821675,,0.466625,0.057125667,,,,,,,
HF_welch,0.045822333,0.024903054,0.046418,0.019232,,0.045822333,0.024903054,,,,,,,
LF_YW,0.390866667,0.108764354,0.37007,0.172105,,0.390866667,0.108764354,,,,,,,
HF_YW,0.048932833,0.030293912,0.0452015,0.01879975,,0.048932833,0.030293912,,,,,,,
LF2HF_welch,13.69621667,9.059377674,10.83925,7.548175,,13.69621667,9.059377674,,,,,,,
LF2HF_YW,11.0317,8.040804802,10.34185,4.6188,,11.0317,8.040804802,,,,,,,
,,,,,,,,,,,,,,
,Active interp1,,,,,Active Spline,,,,,,,,
LF_welch,0.45590168,0.072837499,0.42835,0.03562,,0.45590168,0.072837499,,,,,,,
HF_welch,0.041450818,0.032918215,0.042794,0.031286,,0.041450818,0.032918215,,,,,,,
LF_YW,0.377064023,0.166408402,0.34933,0.18022,,0.377064023,0.166408402,,,,,,,
HF_YW,0.050474451,0.041780117,0.051749,0.03899,,0.050474451,0.041780117,,,,,,,
LF2HF_welch,24.47280614,28.55497882,10.01,15.4994,,24.47280614,28.55497882,,,,,,,
LF2HF_YW,16.87121684,21.9875132,8.2982,8.5679,,16.87121684,21.9875132,,,,,,,
